;;TEST RADIUS: Mon Jan 24 23:21:10 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,200,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,200,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,200,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,200,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,300,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,5,2,333.333
CMT,300,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,5,2,333.333
CMT,300,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,5,2,333.333
CMT,300,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,5,3,500
CMT,300,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,5,2,333.333
CMT,400,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,400,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,400,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,400,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,400,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,500,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,500,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,500,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,500,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,500,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,600,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,600,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,600,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,600,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,600,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,700,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,700,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,700,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,700,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,700,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,800,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,800,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,800,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,800,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,800,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,900,50,294,F,6,1,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,900,50,294,F,6,2,1764,294,0,RAN,BOM,294,294,6,3,500
CMT,900,50,294,F,6,3,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,900,50,294,F,6,4,1764,294,0,RAN,BOM,294,294,6,2,333.333
CMT,900,50,294,F,6,5,1764,294,0,RAN,BOM,294,294,6,3,500
;;TEST RADIUS: Tue Jan 25 03:49:42 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,200992,F,8,1,1607936,200992,0,RAN,BOM,200992,200992,10964,4062,507750
CMT,10,50,200992,F,8,2,1607936,200992,0,RAN,BOM,200992,200992,10964,4004,500500
;;TEST RADIUS: Wed Jan 26 03:20:25 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,10,234,F,16,1,3744,234,0,RAN,BOM,234,234,4,3,187.5
CMT,100,10,234,F,16,1,3744,234,0,RAN,BOM,234,234,3,3,187.5
CMT,200,10,234,F,16,1,3744,234,0,RAN,BOM,234,234,3,3,187.5
CMT,300,10,234,F,16,1,3744,234,0,RAN,BOM,234,234,3,3,187.5
CMT,400,10,234,F,16,1,3744,234,0,RAN,BOM,234,234,3,3,187.5
CMT,500,10,234,F,16,1,3744,234,0,RAN,BOM,234,234,3,3,187.5
;;TEST RADIUS: Wed Jan 26 03:21:28 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,30,2011,F,39,1,78429,2011,0,RAN,BOM,2011,2011,45,99,2538.46
CMT,100,30,2011,F,39,1,78429,2011,0,RAN,BOM,2011,2011,42,102,2615.38
CMT,200,30,2011,F,39,1,78429,2011,0,RAN,BOM,2011,2011,42,103,2641.03
CMT,300,30,2011,F,39,1,78429,2011,0,RAN,BOM,2011,2011,44,103,2641.03
